コンテンツ,動画のタイトル,動画公開時刻,長さ,視聴回数,総再生時間（単位: 時間）,チャンネル登録者,インプレッション数,インプレッションのクリック率 (%)
9FVn-AamFik,明日4/18(土)北九州市市政テレビ番組「北九州Actionファイル KITA CUBE」にて明日KiQ Roboticsが紹介されます！ぜひご覧ください。 #柔軟指 #テレビ,"Apr 17, 2026",20,247,0.1196,0,349,0.57
V98eQoVHR0k,北九州市市政テレビ番組「北九州Actionファイル KITA CUBE」にて明日KiQ Roboticsが紹介されます！ #柔軟指 #テレビ,"Apr 10, 2026",18,229,0.0991,0,336,0.89
Vo95-tV2k4c,柔軟指でポテチ掴んでみた！@柔軟指 @ロボット @ポテトチップス,"Mar 13, 2026",13,149,0.204,0,67,5.97
WwSWSOoWHZk,柔軟指でパスタ把持チャレンジ！,"Mar 5, 2026",17,100,0.1181,0,32,3.13
KlLOImyhjco,従来ハンドの限界に挑戦！ #ロボット #自動化,"Jan 23, 2026",17,84,0.0863,0,21,0
Xwt289MGCDo,ラティス柔軟指 | 通い箱パレタイズ・デパレタイズ,"Oct 23, 2023",158,69,1.7739,0,380,3.95
JEFQwJJqjOQ,Lab Auto | 分注・攪拌自動化システム,"Feb 5, 2024",147,53,0.892,0,86,12.79
LenWV5vctUs,柔軟指でレゴを組み立ててみた！#柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい,"Feb 25, 2026",24,40,0.0501,0,27,0
0u9sq_Lw2mU,もしも柔軟指がUFOキャッチャーに付いてたら？？#柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい,"Jan 30, 2026",26,39,0.0537,0,12,0
S4pDTMWq-SQ,卵 | 把持試験(Normal Hand vs. Lattice Hand) #egg #ロボット #自動化,"Jan 7, 2026",12,36,0.0773,0,27,3.7
gggVAIvqqBU,柔軟指で文字書いてみた！#柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい,"Feb 12, 2026",20,36,0.1113,0,25,0
RXPtRqVOjXI,KiQ Robotics I デモ機,,189,34,0.7158,0,0,
scHbZd8k3nc,象さんジョーロで水やりしてみた！#柔軟指 #ロボット #自動化 #製造業,"Mar 18, 2026",18,32,0.073,0,168,0.6
MNkPdItyYjs,ハンマー | 把持試験(Normal Hand vs. Lattice Hand) #ロボット #自動化,"Jan 9, 2026",16,31,0.0428,0,51,0
PvFjy9LDuew,柔軟指でプリン食べてみた！#柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい,"Feb 13, 2026",18,31,0.0152,0,24,0
2G-eaoK5SNU,ラティス柔軟指 | 通い箱パレタイズ・デパレタイズ,"Sep 22, 2023",158,30,0.7554,0,0,
-9OIeRHAO_Q,から揚げ | 把持試験 #ロボット #自動化,"Jan 19, 2026",21,29,0.0405,0,38,0
HrrTVxuNW7g,綱引きさせてみた！ | 把持試験(Normal Hand vs. Lattice Hand) #ロボット #自動化,"Jan 20, 2026",12,29,0.0486,0,88,2.27
9ToVTErIRa4,北九州オンリーワン企業認定時のPR動画です！#柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい,"Mar 24, 2026",119,26,0.2495,0,461,3.47
Jfh7E0fX1OI,形状違いのワークの把持、諦めていませんか？柔軟指で形状が違うコネクタを把持してみました。#柔軟指 #ロボットハンド #グリッパー #産業ロボット #自動化,"Apr 1, 2026",22,25,0.0935,0,167,5.39
fNCkIzT99yM,柔軟指でみかん狩りしてみた！#柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい,"Jan 29, 2026",16,25,0.0344,0,41,0
czJ387LAC5E,基板を柔軟指で掴んでみた！#柔軟指 #ロボット #自動化,"Feb 6, 2026",13,20,0.0193,0,26,3.85
Lli32x-PG9U,柔軟指でガム食べてみた！#柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい,"Feb 24, 2026",18,19,0.0196,0,18,0
mDni0b6Xgzo,『ケーブル』柔軟指で掴める？掴めない？ #ロボット #自動化 #製造業をもっと盛り上げたい,"Jan 28, 2026",20,18,0.0207,0,80,3.75
QSamLm3KLR0,凹凸の激しい鋳物 | 把持試験(Normal Hand) #ロボット #自動化,"Jan 22, 2026",16,18,0.0184,0,46,2.17
RcTPiIoCnT4,AIに柔軟指のPR動画作らせてみた！なんか惜しい感じの動画ができてます。#柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい #seedance,"Mar 30, 2026",37,18,0.0354,0,199,0.5
qZmglQ3qakU,柔軟指ってどんな形でもつくれるの？！#柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい,"Feb 2, 2026",17,16,0.0287,0,49,8.16
FB0ynKPUch8,針金たわしを掴んだら柔軟指は壊れてしまうのか？#柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい,"Mar 2, 2026",26,12,0.0191,0,41,0
eKyui0-BvKc,柔軟指で電球掴んでみた！#ロボット #自動化 #柔軟指,"Mar 17, 2026",15,12,0.0247,0,81,1.23
hHwuIcvOd-4,ティッシュ| 把持試験(Normal Hand vs. Lattice Hand) #ロボット #自動化,"Jan 13, 2026",14,12,0.0156,0,68,4.41
Bf8Tu3P8N5U,北九州オンリーワン企業認定時のPR動画です！#柔軟指 #ロボット #自動化　#製造業をもっと盛り上げたい,"Mar 24, 2026",119,12,0.0509,0,159,2.52
Fhy5GkN635Y,柔軟指でプロテイン作ってみた！#柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい,"Mar 3, 2026",16,11,0.0135,0,51,0
pEA-NfHWnCA,大きさの異なる硬貨を柔軟指で把持してみた！！#柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい,"Feb 4, 2026",33,10,0.005,0,15,0
OGEmGXlHswc,柔軟指のトヨタ自動車への導入事例です。#柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい #トヨタ自動車,"Mar 10, 2026",159,10,0.1544,0,54,7.41
Zj6tZKOBXHI,色々な硬さの柔軟指作ってみた！#ロボット #自動化,"Jan 26, 2026",14,8,0.0094,0,49,0
NRVD_---Beo,柔軟指で靴下脱いでみた！#柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい,"Feb 16, 2026",21,8,0.0061,0,32,0
gC8hG3Kzzrk,柔軟指でシャーペンの芯掴んでみた！#柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい,"Mar 16, 2026",17,8,0.0082,0,49,2.04
7P_gL-sjHNQ,リックス様 | プロモ 字幕あり,,118,8,0.143,0,0,
gttVxt18n7s,ネジ締め| 把持試験(Normal Hand vs. Lattice Hand) #ロボット #自動化,"Jan 14, 2026",19,8,0.0654,0,15,0
5H4nqvcHuU8,コンテナ箱の搬送システムも作ってます！#柔軟指 #ロボット,"Mar 26, 2026",41,7,0.0299,0,122,1.64
XuaK7pYEvD0,柔軟指でブタさん貯金箱にお金入れてみた！#柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい,"Mar 25, 2026",21,7,0.0138,0,86,1.16
yB4JHsXpVZc,柔軟指でサイコロ振ってみた！#柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい,"Feb 17, 2026",24,6,0.0037,0,14,0
RQs-hW_1zKY,柔軟指で電話にでてみた！#柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい,"Feb 10, 2026",15,6,0.0031,0,24,0
971TNeVg5cw,柔軟指でスライム掴んでみた！#柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい,"Feb 20, 2026",16,6,0.0074,0,39,2.56
64uOk2AHguc,ハンバーガーを柔軟指に作らせてみた！#柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい,"Mar 19, 2026",22,6,0.0154,0,72,0
lIrn45U-r08,柔軟指でカード掴んでみた！#柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい,"Mar 4, 2026",12,5,0.0032,0,62,1.61
8N4La2KryTY,Quick Factory - Screw Bin Picking,"Jun 18, 2021",62,5,0.0517,0,29,13.79
uSKbMc0vyCQ,柔軟指でいろんなコンセントを抜いてみた！#柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい,"Feb 26, 2026",19,5,0.0014,0,30,0
AzKKNRdvwpw,Quick Factory - Pick and Place Package,"Feb 22, 2021",72,4,0.0342,0,14,0
HGY1OtkZ76Y,怪我したから柔軟指にカットバン貼るの手伝ってもらった！#柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい,"Mar 9, 2026",19,4,0.0062,0,24,4.17
DudMgsxcbqE,KiQ Robotics | 組合せ自由！6本指ハンドの紹介(特許出願中),"Jan 4, 2021",203,4,0.0478,0,23,17.39
7-8473cglJA,Quick Factory - Picking and Classification Foods,"Mar 8, 2022",128,3,0.0306,0,39,7.69
n_4TBplcmcw,KiQ Robotics | 電動柔軟ハンド(特許出願中),"Dec 29, 2020",215,3,0.0615,0,21,9.52
Wx4zqG6qTS0,氷 | 把持試験(Normal Hand vs. Lattice Hand) #ロボット #自動化,"Jan 27, 2026",15,3,0.0007,0,31,0
xbeUk2Zpljo,KIQ Roboticsの開発事例です。,"Mar 12, 2026",147,3,0.0116,0,25,0
DaEegl3aL2c,乾電池 | 把持試験(Normal Hand vs. Lattice Hand) #ロボット #自動化,"Jan 7, 2026",12,3,0.0051,0,23,0
rlhNfOnLOTQ,柔軟指のリックスへの導入事例です。#柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい,"Mar 11, 2026",119,3,0.0051,0,82,1.22
IyQMI5EMYPg,北九州オンリーワン企業に認定されました！#柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい,"Mar 23, 2026",117,3,0.0189,0,65,1.54
Mp7VT6L6eFg,いろんなワーク| 把持試験(Lattice Hand) #ロボット #自動化,"Jan 16, 2026",19,2,0.0012,0,32,0
YD2KBmwYIV8,大きさが違う乾電池 | 同時把持試験(Normal Hand vs. Lattice Hand) #ロボット #自動化,"Jan 8, 2026",13,1,0.0003,0,35,0
5_e176rqJfI,大量のネジ | 把持試験#ロボット #自動化,"Jan 21, 2026",19,1,0.0031,0,28,0
f1EP2RgBEPg,スマホを柔軟指で掴んでみた！#柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい,"Feb 5, 2026",12,1,0.0002,0,20,0
zRkgFZ7dnz4,柔軟指でネジチョコ締めてみた！,"Feb 18, 2026",26,1,0.0051,0,10,0
8Bk-kn5gY3o,柔軟指ってただの滑り止めじゃないの？,"Mar 6, 2026",27,1,0.0002,0,21,0
pWrhpyBH100,ペットボトル| 把持試験(Normal Hand vs. Lattice Hand) #ロボット #自動化,"Jan 15, 2026",13,1,0.0034,0,13,0
fUq5oqlc5_w,落ちてくる風船掴んでみた！#柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい,"Feb 3, 2026",13,1,0.0008,0,19,0
qaROKK81fc8,KiQ Robotics | 柔軟ハンドはセンサを選ばない！,"Jan 16, 2021",168,1,0.0425,0,21,4.76
ZEwxY6ureY4,柔軟指でクラッカーを鳴らしてみた！#柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい #クラッカー,"Feb 19, 2026",20,0,0,0,14,0
EOBe0HRLiGI,石鹸 | 把持試験(Normal Hand vs. Lattice Hand) #ロボット #自動化  #製造業,"Jan 7, 2026",13,,,,17,0
MPoh8c-3QLc,「未来をつくろうプロジェクト」の一環として、記者に扮した子供たち“未来リーダーズ”に柔軟指を取材していただきました。本動画は、取材の様子を一部収録したメイキング映像です。,"Feb 9, 2026",60,,,,7,0
vhwMVKy8nds,KiQ Robotics | 交換レス・調整レス！　いっきに道具を収める！,"Jan 10, 2021",42,,,,10,0
2zN4NsSYzAA,KiQ Robotics | 木材分別デモシステム(引き),"Mar 20, 2023",155,,,,50,0
JTXYYNCr8h4,KiQ Robotics | 柔軟ハンドの耐久性能と柔らかさの秘密,"Jan 15, 2021",262,,,,17,0
jdro-r8tnzw,Quick Factory - Packaging Small Parts,"Jul 12, 2021",136,,,,26,0
7hrABAEmib0,KiQ Robotics | 木材分別デモシステム,"Mar 17, 2023",118,,,,50,0
2uVpbvo4XtM,KiQ Robotics | 新しいハンドの特長！,"Jan 6, 2021",161,,,,9,0
